fighter_url,fight_url,referee,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl
http://ufcstats.com/fighter-details/f2f140ce7532e327,http://ufcstats.com/fight-details/c35a53be30bfd066,Rich Mitchell,0,39 of 61,63%,96 of 123,4 of 7,57%,2,0,6:19
http://ufcstats.com/fighter-details/6c3b2525436cf5d4,http://ufcstats.com/fight-details/64641156360b1b81,Marc Goddard,0,69 of 175,39%,111 of 236,1 of 8,12%,3,0,2:01
http://ufcstats.com/fighter-details/19c591115a58982c,http://ufcstats.com/fight-details/64641156360b1b81,Marc Goddard,0,66 of 118,55%,92 of 163,0 of 0,---,1,0,3:11
http://ufcstats.com/fighter-details/2997e7fe3c9d3d4a,http://ufcstats.com/fight-details/946cae1beed2baec,Mike Beltran,0,103 of 181,56%,104 of 182,2 of 2,100%,0,0,0:03
http://ufcstats.com/fighter-details/7138a15258dabf20,http://ufcstats.com/fight-details/946cae1beed2baec,Mike Beltran,0,31 of 64,48%,31 of 64,0 of 1,0%,0,0,0:00
http://ufcstats.com/fighter-details/ed7d329d7c29428d,http://ufcstats.com/fight-details/c7fadbdfdc14c282,Jim Perdios,0,38 of 127,29%,40 of 131,0 of 8,0%,0,0,0:00
http://ufcstats.com/fighter-details/4a6dff1b260bcf61,http://ufcstats.com/fight-details/c7fadbdfdc14c282,Jim Perdios,0,41 of 79,51%,65 of 110,1 of 2,50%,0,0,5:02
http://ufcstats.com/fighter-details/a13d755965a4ec9f,http://ufcstats.com/fight-details/1f70a4516a70abf2,Steve Perceval,1,125 of 241,51%,126 of 243,0 of 0,---,0,1,0:18
http://ufcstats.com/fighter-details/aebaa8cec15b083d,http://ufcstats.com/fight-details/1f70a4516a70abf2,Steve Perceval,0,59 of 209,28%,59 of 209,1 of 4,25%,0,0,0:06
http://ufcstats.com/fighter-details/f782f953bfe7b5f2,http://ufcstats.com/fight-details/8bc8bb0021337de7,Rich Mitchell,1,85 of 192,44%,89 of 197,0 of 0,---,0,0,0:09
http://ufcstats.com/fighter-details/dda15dbfafb792df,http://ufcstats.com/fight-details/8bc8bb0021337de7,Rich Mitchell,0,67 of 168,39%,71 of 173,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/17734443a833cdf7,http://ufcstats.com/fight-details/4218d1d1ce6d322c,Jim Perdios,1,6 of 7,85%,6 of 7,0 of 0,---,0,0,0:01
http://ufcstats.com/fighter-details/a72a2a769fa5a2be,http://ufcstats.com/fight-details/4218d1d1ce6d322c,Jim Perdios,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,http://ufcstats.com/fight-details/85e79748b75eb30e,Marc Goddard,0,26 of 50,52%,32 of 56,0 of 1,0%,0,0,0:00
