fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/17e97649403ba428,http://ufcstats.com/fight-details/f722b96ae6862843,204 of 305,66%,138 of 232,37 of 43,29 of 30,181 of 270,20 of 27,3 of 8
http://ufcstats.com/fighter-details/08af939f41b5a57b,http://ufcstats.com/fight-details/1ea9ad3b6e1cba79,56 of 107,52%,30 of 73,10 of 15,16 of 19,47 of 95,4 of 5,5 of 7
http://ufcstats.com/fighter-details/b6452706b373eea1,http://ufcstats.com/fight-details/1ea9ad3b6e1cba79,31 of 61,50%,25 of 52,4 of 6,2 of 3,25 of 54,4 of 5,2 of 2
http://ufcstats.com/fighter-details/6e743a33d56bdaa4,http://ufcstats.com/fight-details/f6a3c78f15ff26c7,59 of 118,50%,48 of 103,5 of 7,6 of 8,37 of 93,2 of 2,20 of 23
http://ufcstats.com/fighter-details/9256f591b30c073e,http://ufcstats.com/fight-details/f6a3c78f15ff26c7,26 of 58,44%,17 of 48,6 of 6,3 of 4,21 of 52,3 of 4,2 of 2
http://ufcstats.com/fighter-details/0a1942069c9ad6b6,http://ufcstats.com/fight-details/958522de54ccc536,30 of 55,54%,24 of 49,2 of 2,4 of 4,30 of 54,0 of 1,0 of 0
http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,http://ufcstats.com/fight-details/958522de54ccc536,18 of 63,28%,11 of 54,6 of 8,1 of 1,18 of 63,0 of 0,0 of 0
http://ufcstats.com/fighter-details/41cc71cbf210e0fe,http://ufcstats.com/fight-details/2f523b757f7f33a2,3 of 5,60%,0 of 2,0 of 0,3 of 3,3 of 5,0 of 0,0 of 0
http://ufcstats.com/fighter-details/7d6ceff6747f2de2,http://ufcstats.com/fight-details/2f523b757f7f33a2,9 of 11,81%,7 of 9,2 of 2,0 of 0,4 of 5,2 of 3,3 of 3
http://ufcstats.com/fighter-details/36541f1e6c5d4955,http://ufcstats.com/fight-details/815ff62ca8e217be,22 of 51,43%,16 of 45,3 of 3,3 of 3,19 of 48,3 of 3,0 of 0
http://ufcstats.com/fighter-details/68d4a891e5cf2029,http://ufcstats.com/fight-details/815ff62ca8e217be,65 of 103,63%,53 of 82,8 of 14,4 of 7,24 of 53,2 of 5,39 of 45
http://ufcstats.com/fighter-details/809bd1a871491508,http://ufcstats.com/fight-details/d7be78c400e7e0f9,1 of 2,50%,1 of 2,0 of 0,0 of 0,0 of 0,0 of 0,1 of 2
http://ufcstats.com/fighter-details/19c591115a58982c,http://ufcstats.com/fight-details/d7be78c400e7e0f9,2 of 2,100%,0 of 0,1 of 1,1 of 1,2 of 2,0 of 0,0 of 0
http://ufcstats.com/fighter-details/d8da10db80131bec,http://ufcstats.com/fight-details/9bff9fe298e63357,34 of 61,55%,19 of 43,4 of 7,11 of 11,27 of 49,3 of 4,4 of 8
http://ufcstats.com/fighter-details/85497ffd934ecf7e,http://ufcstats.com/fight-details/9bff9fe298e63357,46 of 74,62%,39 of 66,4 of 5,3 of 3,22 of 41,2 of 2,22 of 31
http://ufcstats.com/fighter-details/25f9a5f3e8a52618,http://ufcstats.com/fight-details/043172689e415438,112 of 182,61%,94 of 160,3 of 7,15 of 15,111 of 179,1 of 3,0 of 0
