fight_url,fighter_1_url,fighter_2_url,event_url,weight_class,method,method_type,round,time,time_seconds,total_fight_time_seconds,winner
e5a88f5c686173c4,bb2c3c3a466224af,5cdf5339728f580d,cc2ad11b1f9d818b,Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,bb2c3c3a466224af
dd229687cb62c871,c9cf753cfdf77fc2,0d5cc0170c1a7e71,cc2ad11b1f9d818b,Heavyweight,U-DEC,Unanimous Decision,3,5:00,300,900,c9cf753cfdf77fc2
8af2b589d5e9c1ae,a93f94c923c3a9cb,22e07d3da1aa3475,cc2ad11b1f9d818b,Middleweight,U-DEC,Unanimous Decision,3,5:00,300,900,a93f94c923c3a9cb
a693622ad8c0d672,9c442aaf149ea982,19f8a2f6eecd92ac,cc2ad11b1f9d818b,Women's Strawweight,SUB,Submission,2,3:22,202,502,9c442aaf149ea982
1b02588149d126bf,42ac4020cba261ad,a2d342ffc83913ed,cc2ad11b1f9d818b,Bantamweight,S-DEC,Split Decision,3,5:00,300,900,42ac4020cba261ad
265dbd9be8caa7de,ec13c393d029297d,7772b283d288dbe2,cc2ad11b1f9d818b,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,ec13c393d029297d
67f7163e536d62e2,327d5f279895110d,7acbb0972e75281a,39f62b833e4cf126,Middleweight,U-DEC,Unanimous Decision,5,5:00,300,1500,327d5f279895110d
c83133ee114945ed,c68c68efaa5ca6ef,8adcbd525fab8d9b,39f62b833e4cf126,Welterweight,KO/TKO,Knockout or Technical Knockout,2,2:19,139,439,c68c68efaa5ca6ef
d8f40b82364b6411,262a7d06203657e6,a7151778b3381036,39f62b833e4cf126,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,262a7d06203657e6
ab1aa23060d4e87b,da22387a0407a2dc,700a674c042b7a96,39f62b833e4cf126,Bantamweight,SUB,Submission,2,4:09,249,549,da22387a0407a2dc
e56403718205b494,49edd0d90f60fb7d,709fadb644ee3f51,39f62b833e4cf126,Light Heavyweight,SUB,Submission,2,1:28,88,388,49edd0d90f60fb7d
36db86c39ed09997,239d8e5359022f3b,a68575214ecad140,39f62b833e4cf126,Featherweight,KO/TKO,Knockout or Technical Knockout,1,3:09,189,189,239d8e5359022f3b
74bc22b367cca118,fc08099550072fe4,a67f5afa8d6a1b80,39f62b833e4cf126,Heavyweight,KO/TKO,Knockout or Technical Knockout,2,4:48,288,588,fc08099550072fe4
29d9c5a3f2b78903,a474aade8eb3a8f0,d1053e55f00e53fe,39f62b833e4cf126,Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,a474aade8eb3a8f0
cb3eb07b7152366e,07f959e6596307bb,723b64c0e9a8f348,39f62b833e4cf126,Bantamweight,SUB,Submission,1,3:16,196,196,07f959e6596307bb
5fa6543868367f4b,e94085e821bd81de,1b35af4d1529adf6,39f62b833e4cf126,Women's Strawweight,S-DEC,Split Decision,3,5:00,300,900,e94085e821bd81de
5d8af316413ea2f7,b1f21ce050035d58,e8fe9c15d348e778,39f62b833e4cf126,Flyweight,SUB,Submission,3,3:05,185,785,b1f21ce050035d58
