fighter_url,fight_url,referee,significant_strikes_landed,significant_strikes_attempted,significant_strike_accuracy,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,takedown_accuracy,knockdowns,submission_attempts,reversals,control_time_seconds,significant_strike_accuracy_opponent
745fa7b605f8e2da,120d66cb0da0f3c3,Jimmy Neely,92,181,0.5,57,132,26,35,9,14,75,160,12,14,5,7,95,187,0,2,0.0,1,0,0,40,0.5
3f4c3bc822bea45d,120d66cb0da0f3c3,Jimmy Neely,44,119,0.36,23,89,15,18,6,12,44,118,0,1,0,0,52,129,0,0,,0,0,0,32,0.36
54f64b5e283b0ce7,7a64d63e12618ba7,Marc Goddard,21,29,0.72,17,23,3,3,1,3,18,24,0,0,3,5,24,32,0,0,,1,0,0,61,0.72
07225ba28ae309b6,7a64d63e12618ba7,Marc Goddard,9,16,0.56,3,8,2,4,4,4,8,14,1,2,0,0,10,18,0,2,0.0,0,0,0,21,0.56
a0f0004aadf10b71,8308464729ea7c40,Herb Dean,42,76,0.55,28,61,10,10,4,5,40,74,0,0,2,2,70,107,3,6,0.5,0,2,0,440,0.55
853eb0dd5c0e2149,8308464729ea7c40,Herb Dean,38,67,0.56,26,53,8,10,4,4,35,64,1,1,2,2,57,86,0,2,0.0,0,0,0,10,0.56
6e15f63b6c2e2c15,f722b96ae6862843,Jason Herzog,215,467,0.46,179,422,22,27,14,18,205,451,10,16,0,0,216,468,0,0,,0,0,0,0,0.46
17e97649403ba428,f722b96ae6862843,Jason Herzog,204,305,0.66,138,232,37,43,29,30,181,270,20,27,3,8,209,311,0,0,,1,0,0,9,0.66
08af939f41b5a57b,1ea9ad3b6e1cba79,Mark Smith,56,107,0.52,30,73,10,15,16,19,47,95,4,5,5,7,77,131,5,5,1.0,0,0,0,353,0.52
b6452706b373eea1,1ea9ad3b6e1cba79,Mark Smith,31,61,0.5,25,52,4,6,2,3,25,54,4,5,2,2,38,69,0,3,0.0,1,0,1,80,0.5
6e743a33d56bdaa4,f6a3c78f15ff26c7,Chris Tognoni,59,118,0.5,48,103,5,7,6,8,37,93,2,2,20,23,97,165,0,1,0.0,0,0,1,289,0.5
